State,HighSchoolOrHigher,BachelorsOrHigher
Montana,94.6,34.5
Maine,94.5,35.3
Vermont,94.5,42.6
New Hampshire,94.1,39.8
Wyoming,94.1,29.9
Minnesota,93.9,38.8
North Dakota,93.8,32.3
Alaska,93.5,31.2
Wisconsin,93.4,32.8
Utah,93.3,36.9
Iowa,93.2,30.9
South Dakota,93.0,31.1
Hawaii,92.9,35.5
Colorado,92.8,44.7
District of Columbia,92.8,63.6
Washington,92.2,38.8
Nebraska,92.1,34.1
Kansas,91.9,35.2
Michigan,91.9,31.8
Pennsylvania,91.9,34.5
Idaho,91.7,31.2
Oregon,91.7,36.2
Missouri,91.6,31.9
Ohio,91.6,30.9
Delaware,91.4,35.3
Massachusetts,91.4,46.6
Connecticut,91.3,41.9
Virginia,91.3,41.5
Maryland,91.0,42.7
New Jersey,90.7,42.9
Illinois,90.3,37.2
Indiana,90.2,28.8
North Carolina,89.7,34.7
Florida,89.6,33.2
South Carolina,89.6,31.5
Tennessee,89.6,30.4
Rhode Island,89.5,37.3
Arizona,89.1,32.6
Oklahoma,89.1,27.8
Georgia,89.0,34.2
Arkansas,88.6,25.1
West Virginia,88.6,23.3
Kentucky,88.5,27.0
Alabama,88.1,27.8
New York,87.9,39.6
New Mexico,87.7,30.2
Nevada,87.4,27.4
Louisiana,86.9,26.6
Mississippi,86.6,24.2
Texas,85.7,33.1
California,84.6,36.5
United States,89.4,35.0
