location,series_complete_pop_pct,date
AK,56.4,2021-12-31T00:00:00.000
AL,47.7,2021-12-31T00:00:00.000
AR,51.2,2021-12-31T00:00:00.000
AS,69.0,2021-12-31T00:00:00.000
AZ,57.1,2021-12-31T00:00:00.000
BP2,0.0,2021-12-31T00:00:00.000
CA,66.2,2021-12-31T00:00:00.000
CO,66.3,2021-12-31T00:00:00.000
CT,74.7,2021-12-31T00:00:00.000
DC,67.7,2021-12-31T00:00:00.000
DD2,0.0,2021-12-31T00:00:00.000
DE,64.3,2021-12-31T00:00:00.000
FL,63.4,2021-12-31T00:00:00.000
FM,42.2,2021-12-31T00:00:00.000
GA,51.1,2021-12-31T00:00:00.000
GU,75.4,2021-12-31T00:00:00.000
HI,63.6,2021-12-31T00:00:00.000
IA,59.0,2021-12-31T00:00:00.000
ID,46.3,2021-12-31T00:00:00.000
IH2,39.3,2021-12-31T00:00:00.000
IL,64.2,2021-12-31T00:00:00.000
IN,52.1,2021-12-31T00:00:00.000
KS,57.1,2021-12-31T00:00:00.000
KY,54.3,2021-12-31T00:00:00.000
LA,50.3,2021-12-31T00:00:00.000
MA,74.7,2021-12-31T00:00:00.000
MD,70.5,2021-12-31T00:00:00.000
ME,75.9,2021-12-31T00:00:00.000
MH,29.4,2021-12-31T00:00:00.000
MI,56.9,2021-12-31T00:00:00.000
MN,65.5,2021-12-31T00:00:00.000
MO,53.1,2021-12-31T00:00:00.000
MP,76.9,2021-12-31T00:00:00.000
MS,48.1,2021-12-31T00:00:00.000
MT,54.0,2021-12-31T00:00:00.000
NC,56.8,2021-12-31T00:00:00.000
ND,52.6,2021-12-31T00:00:00.000
NE,59.9,2021-12-31T00:00:00.000
NH,67.3,2021-12-31T00:00:00.000
NJ,70.6,2021-12-31T00:00:00.000
NM,66.3,2021-12-31T00:00:00.000
NV,56.5,2021-12-31T00:00:00.000
NY,71.9,2021-12-31T00:00:00.000
OH,55.3,2021-12-31T00:00:00.000
OK,53.6,2021-12-31T00:00:00.000
OR,66.5,2021-12-31T00:00:00.000
PA,63.9,2021-12-31T00:00:00.000
PR,77.1,2021-12-31T00:00:00.000
RI,76.6,2021-12-31T00:00:00.000
RP,76.8,2021-12-31T00:00:00.000
SC,53.2,2021-12-31T00:00:00.000
SD,57.2,2021-12-31T00:00:00.000
TN,51.4,2021-12-31T00:00:00.000
TX,57.0,2021-12-31T00:00:00.000
US,62.1,2021-12-31T00:00:00.000
UT,58.8,2021-12-31T00:00:00.000
VA,68.0,2021-12-31T00:00:00.000
VA2,0.0,2021-12-31T00:00:00.000
VI,50.7,2021-12-31T00:00:00.000
VT,77.5,2021-12-31T00:00:00.000
WA,68.0,2021-12-31T00:00:00.000
WI,62.0,2021-12-31T00:00:00.000
WV,55.1,2021-12-31T00:00:00.000
WY,47.6,2021-12-31T00:00:00.000
